Project,Season,State,City,Location,Address,Date,Map,Confirmed,REP(s),Assignment
"IKF-S6-008","Season 6","Madhya Pradesh","Bhopal","","Bhopal, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Bhopal%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Dhar","","Dhar, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Dhar%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Gwalior","","Gwalior, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Gwalior%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Indore","Parasrampuriya Academy","Parasrampuriya Academy, Rajmohalla near Gangwal Bus Stand, Indore, 452002","10 Jul 2026","https://maps.app.goo.gl/XwbTwcdTvgZCfsCi9?g_st=iw","No","Best Stars","Assigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Shahdol","","Shahdol, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Shahdol%2C%20Madhya%20Pradesh","No","","Unassigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Singrauli","Vijay Stadium","Vijay Stadium, Jayant, Singrauli","10 Jul 2026","https://maps.app.goo.gl/m9jLtSRugHNoGvWP6","No","Braj Sports Foundation","Assigned"
"IKF-S6-008","Season 6","Rajasthan","Ajmer","","Ajmer, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Ajmer%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-008","Season 6","Rajasthan","Jaisalmer","","Jaisalmer, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Jaisalmer%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-008","Season 6","Rajasthan","Jodhpur","","Jodhpur, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Jodhpur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-008","Season 6","Rajasthan","Kekri","","Kekri, Rajasthan","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Kekri%2C%20Rajasthan","No","","Unassigned"
